               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054003,            0.021836,            0.036428,             0.11148,               0.126,            0.091151,            0.043638,            0.031729,           0.0081731,            0.027713,            0.070015,           0.0033317,           0.0033317
                   1,            0.035768,            0.018878,            0.033073,             0.18638,             0.40057,             0.22652,             0.14429,            0.025062,           0.0063553,            0.024732,            0.039868,           0.0065184,           0.0065184
                   2,            0.032649,            0.017287,            0.029383,             0.37556,               0.632,             0.49546,             0.33106,             0.02221,           0.0053669,            0.018703,           0.0095751,           0.0095584,           0.0095584
                   3,            0.029528,            0.017017,            0.026433,             0.80192,             0.60116,             0.66542,             0.44446,            0.019729,           0.0052348,            0.013656,             0.00934,             0.00934,             0.00934
                   4,            0.026607,            0.016752,            0.023063,             0.52314,             0.60599,             0.61767,             0.40414,             0.01873,           0.0051694,            0.017248,             0.00934,             0.00934,             0.00934
                   5,            0.024801,            0.016451,            0.021092,             0.57819,              0.6656,             0.69045,             0.46933,            0.019087,           0.0055702,            0.012808,             0.00912,             0.00912,             0.00912
                   6,            0.023233,             0.01602,            0.019927,             0.63746,             0.66352,             0.72062,             0.47371,            0.018538,           0.0055331,           0.0097458,              0.0089,              0.0089,              0.0089
                   7,            0.022727,            0.015986,            0.019106,             0.64892,             0.63169,             0.67977,             0.44656,            0.019611,            0.005714,            0.012088,             0.00868,             0.00868,             0.00868
                   8,            0.021756,            0.015821,            0.018369,             0.63113,             0.67909,             0.72237,             0.46884,            0.019248,           0.0055207,           0.0092439,             0.00846,             0.00846,             0.00846
                   9,            0.021656,            0.015847,            0.017724,             0.62294,             0.66979,             0.73697,             0.50254,            0.017817,           0.0055517,            0.010207,             0.00824,             0.00824,             0.00824
                  10,            0.020341,            0.015438,            0.016506,             0.61026,             0.63816,               0.679,             0.45269,            0.019175,           0.0060439,            0.014336,             0.00802,             0.00802,             0.00802
                  11,            0.020871,            0.015484,            0.015908,               0.627,             0.69175,             0.73923,             0.51935,            0.017505,           0.0054795,            0.010639,              0.0078,              0.0078,              0.0078
                  12,            0.020193,            0.015124,            0.015729,             0.71458,             0.73883,             0.76467,             0.56995,            0.016369,           0.0051877,           0.0085921,             0.00758,             0.00758,             0.00758
                  13,            0.019705,            0.015033,            0.015329,             0.67863,              0.6502,             0.71175,             0.49955,            0.018149,           0.0060512,             0.01114,             0.00736,             0.00736,             0.00736
                  14,            0.019185,            0.014786,            0.014296,             0.70036,             0.73351,             0.76963,             0.54999,            0.017142,            0.005201,            0.008306,             0.00714,             0.00714,             0.00714
                  15,            0.019131,            0.015101,            0.014273,             0.71018,             0.68255,             0.74121,             0.56829,            0.016116,           0.0053269,           0.0095576,             0.00692,             0.00692,             0.00692
                  16,             0.01872,            0.014777,            0.013541,             0.68359,             0.67092,             0.71035,              0.5293,            0.017485,           0.0057588,            0.011579,              0.0067,              0.0067,              0.0067
